CI_Cat,CI_Subcat,Impact,Urgency,Category,No_of_Reassignments,Handle_Time_hrs,No_of_Related_Interactions,High_Priority
application,Web Based Application,4,4,incident,6,12232.0,2,1
application,Web Based Application,4,4,incident,2,1778691667.0,1,1
application,Web Based Application,4,4,incident,4,15668525.0,1,1
application,Web Based Application,3,4,incident,4,1575543889.0,1,1
application,SAP,5,5,request for information,32,706115.0,2,1
application,Client Based Application,4,4,incident,9,1638633056.0,14,1
application,Server Based Application,5,5,incident,1,2197.0,1,1
application,Server Based Application,4,4,incident,1,1390555556.0,1,1
application,Server Based Application,5,5,request for information,12,1042109167.0,1,1
subapplication,Citrix,4,4,incident,4,1326903056.0,2,1
application,Standard Application,4,4,incident,8,2082408889.0,1,1
application,Web Based Application,4,5,incident,1,1252089167.0,1,1
application,Server Based Application,3,3,incident,1,1684207778.0,1,1
application,Web Based Application,4,4,incident,8,61785.0,1,1
application,Web Based Application,4,4,incident,2,1479086111.0,1,1
application,Web Based Application,4,4,incident,4,1468005278.0,1,1
application,Web Based Application,4,4,incident,4,2534444444.0,1,1
application,Web Based Application,5,5,incident,9,5578327778.0,1,1
subapplication,Web Based Application,4,4,incident,4,1754444444.0,1,1
application,Web Based Application,4,4,incident,2,1407219722.0,1,1
application,Server Based Application,4,4,incident,8,1570409167.0,1,1
application,Server Based Application,4,4,incident,3,3568333333.0,1,1
application,Web Based Application,4,4,incident,13,1495071111.0,1,1
application,Client Based Application,5,5,incident,15,1248674444.0,2,1
application,Web Based Application,4,4,incident,8,6094080556.0,1,1
application,Server Based Application,5,5,request for information,8,1998261111.0,2,1
application,Web Based Application,3,3,incident,2,3370972222.0,1,1
application,Web Based Application,4,4,incident,7,5013388889.0,2,1
application,Server Based Application,3,3,incident,6,1775911667.0,1,1
application,Web Based Application,4,4,incident,2,1305462778.0,1,1
application,Server Based Application,4,4,incident,22,8251083333.0,7,1
application,Web Based Application,5,5,incident,10,1304083889.0,1,1
application,Web Based Application,4,4,incident,4,1301827778.0,1,1
application,Server Based Application,3,3,incident,3,5129722222.0,1,1
application,Web Based Application,4,4,incident,2,1290483611.0,1,1
application,Server Based Application,3,3,incident,1,1098304722.0,3,1
application,Web Based Application,4,4,incident,0,1456698056.0,3,1
application,Server Based Application,4,4,request for information,10,7628972222.0,1,1
subapplication,Web Based Application,4,4,incident,2,12685475.0,1,1
application,Server Based Application,5,5,incident,5,9966208333.0,1,1
application,SAP,5,5,request for information,12,3676269444.0,1,1
application,Server Based Application,5,5,request for information,6,8324694444.0,2,1
application,Web Based Application,3,3,incident,2,1071944444.0,1,1
subapplication,Web Based Application,4,4,incident,4,1221629167.0,1,1
application,Web Based Application,4,4,incident,2,1211729444.0,1,1
application,Web Based Application,4,4,incident,2,1211214167.0,1,1
application,Server Based Application,4,4,incident,3,7320833333.0,2,1
subapplication,Web Based Application,5,5,incident,1,1268319167.0,1,1
application,SAP,5,5,request for information,15,6301172222.0,2,1
application,Server Based Application,4,4,incident,6,1320549722.0,4,1
application,Web Based Application,4,5,incident,15,7014891667.0,1,1
application,Standard Application,3,3,incident,3,1575072222.0,1,1
application,Web Based Application,4,4,incident,26,1163259722.0,1,1
application,Web Based Application,4,4,incident,2,1162483333.0,1,1
application,Web Based Application,4,4,incident,5,3120383333.0,2,1
application,Server Based Application,NS,3,incident,1,9647666667.0,1,1
application,Web Based Application,4,4,incident,7,1140922778.0,1,1
application,Web Based Application,4,4,incident,2,1143280556.0,1,1
subapplication,Web Based Application,4,4,incident,2,1074620833.0,5,1
application,Server Based Application,3,3,incident,1,1337891667.0,1,1
application,SAP,5,5,incident,9,1229582222.0,1,1
application,Server Based Application,5,5,incident,2,1193710556.0,2,1
application,Web Based Application,3,3,incident,2,1115583056.0,1,1
application,Web Based Application,4,4,incident,4,1111987222.0,1,1
application,Web Based Application,5,5,request for information,8,1103331389.0,1,1
application,Web Based Application,4,4,incident,6,3134163889.0,1,1
application,Web Based Application,5,5,incident,0,4582819444.0,4,1
computer,Windows Server,4,4,incident,7,1763476667.0,1,1
application,Web Based Application,5,5,incident,6,1508066667.0,2,1
application,Web Based Application,4,4,incident,2,1059632222.0,1,1
application,Web Based Application,4,4,incident,2,1041692778.0,1,1
application,Standard Application,5,5,incident,2,5237869444.0,1,1
application,Web Based Application,4,4,incident,13,1449696667.0,2,1
subapplication,Web Based Application,3,3,incident,6,6297088889.0,1,1
application,Web Based Application,4,4,incident,4,1029982222.0,1,1
application,Server Based Application,3,3,incident,1,12252575.0,1,1
application,Server Based Application,5,5,incident,1,3028388889.0,1,1
application,Web Based Application,4,4,incident,2,1637583333.0,1,1
subapplication,Server Based Application,3,3,incident,3,1871666667.0,1,1
application,Web Based Application,4,4,incident,2,1010306667.0,1,1
application,Web Based Application,4,4,incident,6,1288389444.0,1,1
subapplication,Web Based Application,4,4,incident,3,1276821389.0,1,1
application,Web Based Application,4,4,incident,10,9869316667.0,1,1
application,Server Based Application,4,4,incident,5,6036144444.0,3,1
subapplication,Web Based Application,5,5,incident,2,6701497222.0,1,1
application,Web Based Application,5,5,incident,7,6361880556.0,1,1
application,Standard Application,4,4,incident,2,2175.0,1,1
application,Standard Application,3,3,incident,0,1128583056.0,1,1
application,Standard Application,5,5,incident,2,5708625.0,1,1
application,Server Based Application,4,4,incident,7,7790066667.0,1,1
application,Client Based Application,4,4,incident,12,1267222222.0,1,1
application,Server Based Application,4,4,incident,10,6791083333.0,1,1
application,Web Based Application,5,5,incident,7,8623983333.0,1,1
application,Server Based Application,3,3,incident,1,8525833333.0,1,1
application,Web Based Application,5,5,incident,12,5047777778.0,1,1
application,Standard Application,4,4,incident,2,55025.0,1,1
application,Web Based Application,4,4,incident,2,9285844444.0,1,1
application,Web Based Application,4,4,incident,3,1291741667.0,1,1
subapplication,Web Based Application,4,4,incident,13,2653458333.0,2,1
application,Server Based Application,NS,3,incident,2,1126525.0,1,1
application,Web Based Application,3,3,incident,2,9261197222.0,1,1
subapplication,Web Based Application,4,4,incident,4,457355.0,1,1
application,Server Based Application,3,3,incident,4,4935288889.0,1,1
application,Server Based Application,3,3,incident,1,6675875.0,1,1
application,Server Based Application,NS,3,incident,1,1118648333.0,1,1
application,Web Based Application,4,4,incident,4,9134563889.0,1,1
subapplication,Web Based Application,4,4,incident,2,7317083333.0,1,1
application,Server Based Application,5,5,request for information,4,1490008333.0,2,1
application,Web Based Application,3,3,incident,2,8869425.0,1,1
subapplication,Web Based Application,4,4,incident,3,8710469444.0,1,1
application,Web Based Application,4,4,incident,2,7488533333.0,1,1
application,Server Based Application,4,4,incident,3,3586388889.0,2,1
application,Web Based Application,5,5,incident,2,9027441667.0,1,1
application,Server Based Application,3,3,incident,3,7839583333.0,2,1
application,Server Based Application,3,3,incident,3,2973786111.0,1,1
application,Server Based Application,3,3,incident,3,8523197222.0,2,1
application,Web Based Application,4,4,incident,5,8915705556.0,1,1
application,Server Based Application,4,4,incident,2,1090758056.0,1,1
application,Server Based Application,NS,3,incident,1,1090219444.0,1,1
application,Client Based Application,4,3,incident,3,6475580556.0,370,1
application,Web Based Application,4,4,incident,12,7081647222.0,1,1
application,Web Based Application,4,4,incident,10,8748566667.0,1,1
computer,Laptop,5,5,incident,10,9182305556.0,2,1
subapplication,Web Based Application,5,5,incident,13,5569383333.0,1,1
application,Web Based Application,4,4,incident,4,1405689444.0,1,1
application,Web Based Application,3,3,incident,6,9614777778.0,1,1
application,Web Based Application,4,4,incident,8,2007588889.0,3,1
application,Desktop Application,5,5,request for information,21,4457077778.0,2,1
application,Web Based Application,4,4,incident,6,1109752778.0,1,1
subapplication,Web Based Application,4,4,incident,2,1219328611.0,1,1
application,Web Based Application,4,4,incident,6,2560444444.0,1,1
application,Server Based Application,4,4,incident,5,8331091667.0,1,1
application,Server Based Application,3,3,incident,1,1042116389.0,1,1
application,Web Based Application,4,4,incident,6,8401738889.0,1,1
application,Web Based Application,3,3,incident,2,5188902778.0,1,1
application,Server Based Application,NS,3,incident,25,3073305556.0,4,1
application,Web Based Application,5,5,incident,2,23725.0,1,1
application,Web Based Application,4,4,incident,2,2877777778.0,1,1
application,Web Based Application,4,4,incident,2,8127419444.0,1,1
application,Web Based Application,4,4,incident,2,8093180556.0,1,1
application,Web Based Application,4,4,incident,9,1041729167.0,1,1
application,SAP,5,5,request for information,0,4685527778.0,2,1
application,Desktop Application,5,5,incident,0,2879166667.0,2,1
application,Web Based Application,4,4,incident,2,2155944444.0,1,1
application,Web Based Application,4,4,incident,8,8011025.0,1,1
application,Client Based Application,5,5,incident,0,7334383333.0,1,1
computer,Laptop,5,5,incident,7,6215538889.0,2,1
application,Web Based Application,4,4,incident,2,7902891667.0,1,1
application,Server Based Application,5,5,request for information,0,1006736111.0,1,1
application,Web Based Application,4,4,incident,4,7892616667.0,1,1
application,Server Based Application,4,4,request for information,1,3518805556.0,1,1
application,SAP,5,5,request for information,5,5696552778.0,1,1
application,Server Based Application,4,4,incident,19,9037669444.0,9,1
application,Web Based Application,4,4,incident,3,5993797222.0,1,1
application,SAP,5,5,request for information,4,4167577778.0,1,1
application,Web Based Application,4,4,incident,4,173333333.0,1,1
application,Web Based Application,4,4,incident,2,2008888889.0,1,1
application,SAP,5,5,request for information,5,4434772222.0,1,1
application,Web Based Application,4,4,incident,10,6081291667.0,1,1
computer,Linux Server,3,3,incident,9,8513541667.0,1,1
application,Web Based Application,4,4,incident,2,7290733333.0,1,1
application,Web Based Application,4,4,incident,6,1716777778.0,1,1
application,Web Based Application,4,4,incident,6,1005651667.0,1,1
application,Web Based Application,4,4,incident,2,8071666667.0,1,1
application,Web Based Application,4,4,incident,3,5133441667.0,1,1
application,Web Based Application,4,4,incident,2,7227338889.0,1,1
application,Server Based Application,4,4,incident,5,5308022222.0,3,1
application,Web Based Application,4,4,incident,7,6857697222.0,2,1
subapplication,Web Based Application,4,4,incident,4,445295.0,1,1
application,Server Based Application,5,5,request for information,4,1655596667.0,1,1
application,Web Based Application,4,4,incident,11,4689083333.0,1,1
application,Server Based Application,4,4,incident,3,3617416667.0,2,1
application,SAP,5,5,incident,13,4874316667.0,1,1
application,Server Based Application,3,3,incident,1,5241697222.0,1,1
subapplication,Server Based Application,4,4,incident,4,1353276667.0,2,1
application,SAP,5,5,request for information,25,4155761111.0,2,1
application,Server Based Application,4,4,incident,14,6150375.0,11,1
application,Web Based Application,4,4,incident,5,3954094444.0,1,1
application,Server Based Application,NS,3,incident,2,3954561111.0,1,1
application,Web Based Application,4,4,incident,3,1032118611.0,1,1
application,Server Based Application,4,4,incident,13,3073766667.0,1,1
application,Server Based Application,4,4,incident,3,7571641667.0,54,1
application,Server Based Application,5,5,request for information,2,9028444444.0,1,1
application,Web Based Application,4,4,incident,6,1079513611.0,1,1
application,Web Based Application,5,5,incident,7,6918055556.0,1,1
application,SAP,5,5,request for information,2,2990111111.0,1,1
subapplication,Web Based Application,5,5,incident,3,5066816667.0,1,1
application,Server Based Application,3,3,incident,10,5931655556.0,1,1
application,Web Based Application,4,4,incident,4,8108238889.0,1,1
application,Standard Application,NS,3,incident,0,6044338889.0,1,1
application,Web Based Application,4,4,incident,2,3686330556.0,1,1
application,Server Based Application,5,4,incident,7,1388461944.0,1,1
application,Web Based Application,4,4,incident,14,8416975.0,1,1
application,Web Based Application,5,5,incident,5,236825.0,1,1
subapplication,Web Based Application,4,4,incident,2,3816988889.0,1,1
subapplication,Web Based Application,4,4,incident,1,7392694444.0,1,1
application,Web Based Application,3,3,incident,9,16876.0,1,1
application,Server Based Application,4,4,incident,7,1362761111.0,3,1
application,Web Based Application,4,4,incident,6,6246461111.0,1,1
subapplication,Web Based Application,5,5,request for information,5,3365430556.0,1,1
application,Web Based Application,4,4,incident,4,3998994444.0,1,1
application,Web Based Application,3,3,incident,2,3097983333.0,1,1
application,Server Based Application,3,3,incident,7,4449361111.0,1,1
application,Web Based Application,4,4,incident,0,4537711111.0,1,1
subapplication,Web Based Application,4,4,incident,7,5049813889.0,4,1
application,Web Based Application,3,3,incident,2,6558188889.0,1,1
subapplication,Web Based Application,4,4,incident,17,3420113889.0,1,1
application,Web Based Application,4,4,incident,2,1157173056.0,1,1
application,Web Based Application,4,4,incident,4,6015119444.0,1,1
application,SAP,5,5,request for information,2,7058888889.0,2,1
application,Web Based Application,4,4,incident,11,4648472222.0,5,1
application,Server Based Application,5,5,incident,10,7360305556.0,2,1
application,Client Based Application,4,4,incident,7,3313452778.0,7,1
application,Desktop Application,5,4,incident,1,5620055556.0,1,1
application,Web Based Application,5,5,incident,1,4045833333.0,1,1
application,Web Based Application,4,4,incident,22,5088980556.0,2,1
computer,Windows Server,4,4,incident,1,9669636111.0,1,1
subapplication,Web Based Application,4,4,incident,2,3618736111.0,1,1
application,Web Based Application,4,4,incident,7,9326622222.0,1,1
application,Desktop Application,5,5,incident,0,6221111111.0,4,1
application,Web Based Application,5,5,incident,13,3894797222.0,2,1
application,Web Based Application,4,5,incident,3,3115694444.0,2,1
application,Server Based Application,5,5,incident,9,3460091667.0,1,1
application,SAP,5,5,request for information,3,3204811111.0,1,1
application,SAP,5,5,request for information,14,5041861111.0,4,1
application,Web Based Application,5,5,incident,2,3677972222.0,1,1
application,Web Based Application,5,5,incident,5,2029380556.0,1,1
application,Server Based Application,4,4,incident,2,1260888889.0,1,1
subapplication,Citrix,5,5,incident,2,2465638889.0,1,1
application,Server Based Application,NS,3,incident,2,3053888889.0,2,1
application,Web Based Application,4,4,incident,6,5696363889.0,1,1
application,Server Based Application,5,5,incident,2,2795533333.0,2,1
computer,Laptop,5,5,incident,0,3381666667.0,1,1
application,Server Based Application,4,4,incident,5,1257183333.0,1,1
application,Web Based Application,4,4,incident,2,2110805556.0,1,1
application,Server Based Application,4,4,incident,2,2810961111.0,1,1
application,Server Based Application,4,4,incident,1,3007111111.0,1,1
application,Server Based Application,5,5,incident,4,5247269444.0,2,1
computer,Laptop,4,4,incident,14,87785.0,1,1
application,Standard Application,4,4,incident,2,5882677778.0,1,1
application,Server Based Application,5,5,request for information,0,2542472222.0,4,1
application,SAP,5,5,request for information,6,3223147222.0,1,1
application,SAP,5,5,request for information,0,1554166667.0,3,1
application,Server Based Application,4,4,incident,9,3935908333.0,1,1
application,Server Based Application,4,4,incident,3,3988916667.0,4,1
computer,Laptop,5,5,incident,7,4068222222.0,2,1
application,SAP,4,4,incident,17,3076763889.0,1,1
subapplication,Web Based Application,4,4,incident,4,2617047222.0,1,1
application,Server Based Application,4,4,incident,4,4782672222.0,1,1
application,Desktop Application,3,3,incident,15,1146588889.0,1,1
application,Server Based Application,5,5,request for information,0,2227333333.0,1,1
application,Server Based Application,5,5,request for information,2,1095127778.0,3,1
application,SAP,5,5,request for information,1,4706038889.0,0,1
application,SAP,5,5,request for information,6,3385227778.0,2,1
subapplication,Web Based Application,4,4,incident,4,3029277778.0,1,1
subapplication,Web Based Application,4,4,incident,4,2899691667.0,2,1
application,Web Based Application,5,5,incident,12,2364466667.0,3,1
computer,Laptop,5,5,incident,2,5856125.0,1,1
application,Server Based Application,5,5,request for information,13,271965.0,1,1
application,Client Based Application,4,4,incident,10,1858797222.0,2,1
application,Server Based Application,4,4,incident,14,7664377778.0,1,1
subapplication,Web Based Application,4,4,incident,3,2898594444.0,1,1
application,Desktop Application,4,4,incident,0,3605388889.0,1,1
application,Server Based Application,NS,4,incident,0,41576.0,1,1
application,Server Based Application,3,3,incident,4,2919972222.0,2,1
application,SAP,5,5,incident,46,5582916667.0,1,1
application,Web Based Application,4,4,incident,6,2243433333.0,1,1
application,SAP,5,5,request for information,4,276505.0,1,1
application,Server Based Application,5,5,incident,5,5281666667.0,1,1
subapplication,Web Based Application,4,4,incident,7,6255833333.0,2,1
application,Web Based Application,4,4,incident,2,9978055556.0,1,1
application,Server Based Application,4,4,incident,12,1794525.0,5,1
application,Web Based Application,5,5,incident,19,5467563889.0,1,1
application,Desktop Application,4,4,incident,0,7432777778.0,2,1
application,Server Based Application,5,5,incident,21,2494533333.0,2,1
subapplication,Web Based Application,5,5,incident,4,3114963889.0,1,1
application,SAP,5,5,request for information,4,3673630556.0,2,1
application,Server Based Application,5,5,request for information,0,3082361111.0,2,1
application,Server Based Application,5,5,request for information,0,1955777778.0,1,1
application,Web Based Application,5,5,request for information,1,23177.0,1,1
application,Web Based Application,4,4,incident,4,1167444167.0,1,1
subapplication,Web Based Application,4,4,incident,4,2729944444.0,1,1
subapplication,Web Based Application,4,4,incident,6,5071791667.0,1,1
subapplication,Web Based Application,4,4,incident,4,1848297222.0,1,1
computer,Laptop,5,5,incident,6,1406527778.0,2,1
application,Server Based Application,NS,3,incident,5,1318638889.0,2,1
subapplication,Web Based Application,4,4,incident,2,4249347222.0,1,1
application,Server Based Application,4,4,request for information,1,5008194444.0,3,1
application,Server Based Application,5,5,request for information,0,8341027778.0,2,1
application,SAP,5,5,request for information,4,16275.0,2,1
application,Server Based Application,4,4,incident,3,3745597222.0,2,1
application,Server Based Application,4,4,incident,2,3493913889.0,1,1
application,Web Based Application,5,5,incident,18,8216927778.0,1,1
subapplication,Web Based Application,NS,3,incident,16,3736538889.0,1,1
application,Desktop Application,4,4,incident,10,8143166667.0,2,1
application,SAP,5,5,incident,7,9196969444.0,1,1
application,Web Based Application,5,5,request for information,1,2137241667.0,1,1
application,Server Based Application,3,3,incident,0,3847016667.0,1,1
application,Server Based Application,5,5,request for information,3,9918222222.0,1,1
application,Web Based Application,3,3,incident,12,1041510556.0,1,1
application,Server Based Application,4,4,incident,8,1746941667.0,1,1
application,Server Based Application,4,4,incident,1,8699722222.0,1,1
computer,Laptop,5,5,incident,2,2359694444.0,1,1
application,Web Based Application,5,5,request for information,3,2073069444.0,1,1
application,Web Based Application,4,5,incident,9,3894638889.0,1,1
displaydevice,Monitor,4,4,incident,4,2121988889.0,3,1
application,Web Based Application,4,4,incident,8,4782919444.0,1,1
application,Web Based Application,5,5,incident,42,4643961111.0,1,1
application,Web Based Application,4,4,incident,6,6601861111.0,1,1
application,Web Based Application,4,4,incident,11,4768527778.0,1,1
application,Web Based Application,4,4,incident,2,2517663889.0,1,1
application,Server Based Application,5,5,request for information,2,7548138889.0,2,1
application,Web Based Application,4,4,incident,0,6481336111.0,1,1
application,Web Based Application,4,4,incident,2,42585.0,1,1
subapplication,Web Based Application,5,5,incident,6,7816638889.0,3,1
application,Web Based Application,5,5,incident,5,4805944444.0,2,1
subapplication,Web Based Application,4,4,incident,2,1046127778.0,9,1
application,Web Based Application,4,5,request for information,6,2584552778.0,1,1
application,Server Based Application,NS,3,incident,0,2304908333.0,1,1
application,Web Based Application,4,4,incident,5,9610944444.0,2,1
application,Web Based Application,4,4,incident,4,2136388889.0,1,1
subapplication,Web Based Application,4,4,incident,4,4719986111.0,1,1
application,Web Based Application,4,4,incident,6,6526944444.0,1,1
application,Web Based Application,4,4,incident,4,4108527778.0,1,1
application,Server Based Application,5,5,request for information,4,3134194444.0,2,1
application,Server Based Application,4,4,incident,23,2912897222.0,1,1
software,Automation Software,4,4,incident,15,1551652778.0,2,1
storage,SAN,5,5,request for information,1,2199722222.0,1,1
application,Web Based Application,4,4,incident,4,1679563889.0,1,1
application,Web Based Application,4,4,incident,2,4656716667.0,1,1
application,SAP,5,5,request for information,10,3255438889.0,3,1
application,Web Based Application,4,4,incident,4,3626277778.0,1,1
application,Server Based Application,5,5,request for information,5,1540388889.0,1,1
application,Web Based Application,4,4,incident,2,3024922222.0,1,1
application,Server Based Application,4,4,incident,2,8225008333.0,1,1
application,Web Based Application,4,4,incident,11,4915388889.0,2,1
application,SAP,5,5,request for information,5,9906888889.0,3,1
application,Server Based Application,3,3,incident,2,2458416667.0,3,1
application,Web Based Application,4,4,incident,2,4651805556.0,1,1
application,Web Based Application,4,4,incident,2,4637394444.0,1,1
application,Web Based Application,5,5,incident,3,4985388889.0,3,1
application,Server Based Application,5,5,request for information,0,3181566667.0,1,1
application,Web Based Application,4,4,incident,6,3519972222.0,1,1
application,Desktop Application,5,5,request for information,6,1473994444.0,1,1
application,Server Based Application,5,5,request for information,0,3165283333.0,1,1
application,Web Based Application,3,3,incident,2,4614819444.0,1,1
application,Server Based Application,3,3,incident,0,4419691667.0,1,1
computer,Laptop,5,5,incident,3,1020805556.0,2,1
application,Web Based Application,4,4,incident,2,8382472222.0,1,1
application,Server Based Application,5,5,request for information,1,1500127778.0,1,1
computer,Laptop,5,5,request for information,2,2558527778.0,1,1
application,Server Based Application,3,3,incident,2,2812302778.0,1,1
application,Server Based Application,5,5,request for information,4,5953805556.0,2,1
application,Server Based Application,5,5,request for information,5,1538411111.0,1,1
application,Server Based Application,3,3,incident,2,2366216667.0,1,1
subapplication,Web Based Application,NS,3,incident,13,7729861111.0,1,1
application,Web Based Application,4,4,incident,8,1001535278.0,2,1
subapplication,Web Based Application,4,4,request for information,0,3866866667.0,1,1
application,Web Based Application,4,4,incident,1,1341316667.0,1,1
application,Web Based Application,5,5,incident,1,2335994444.0,1,1
computer,Laptop,4,4,incident,0,2676352778.0,1,1
subapplication,Web Based Application,4,4,incident,7,415575.0,2,1
subapplication,Web Based Application,4,4,incident,2,8298222222.0,1,1
application,Server Based Application,4,4,incident,4,4245361111.0,1,1
subapplication,Web Based Application,4,4,incident,6,1642905556.0,1,1
application,SAP,5,5,request for information,16,6038980556.0,2,1
application,SAP,5,5,request for information,14,5207416667.0,4,1
subapplication,Web Based Application,4,4,incident,8,2296691667.0,2,1
application,Web Based Application,4,4,incident,2,4534222222.0,1,1
application,Citrix,4,4,incident,4,4082333333.0,1,1
application,SAP,5,5,request for information,4,1590286111.0,1,1
application,Web Based Application,4,4,incident,3,2791694444.0,1,1
computer,Laptop,5,5,incident,4,2742669444.0,1,1
application,Server Based Application,3,3,incident,2,1549083333.0,1,1
application,Server Based Application,5,5,incident,4,1592119444.0,1,1
subapplication,Web Based Application,4,4,incident,3,200375.0,2,1
application,Desktop Application,4,4,incident,0,1991944444.0,1,1
application,Server Based Application,5,5,request for information,6,9359527778.0,4,1
application,Server Based Application,5,5,request for information,13,6076694444.0,1,1
application,Server Based Application,5,5,request for information,7,7670055556.0,1,1
application,Server Based Application,5,5,incident,3,2109763889.0,1,1
application,Web Based Application,5,5,incident,0,2963186111.0,2,1
application,SAP,5,5,request for information,8,2647408333.0,1,1
application,Server Based Application,5,5,request for information,26,5398991667.0,2,1
application,Web Based Application,4,5,incident,6,1005047222.0,2,1
application,Web Based Application,4,4,incident,3,5157694444.0,2,1
application,Server Based Application,5,5,request for information,13,3041205556.0,1,1
computer,Laptop,5,5,incident,7,1012166667.0,1,1
application,Web Based Application,5,5,incident,12,4341525.0,1,1
application,Server Based Application,5,5,request for information,39,5782988889.0,2,1
application,SAP,5,5,request for information,10,6252766667.0,1,1
subapplication,Web Based Application,5,5,incident,3,5364555556.0,1,1
application,Web Based Application,4,4,incident,5,1158177778.0,2,1
application,Desktop Application,5,5,request for information,3,3909102778.0,1,1
application,Server Based Application,5,5,request for information,9,2044977778.0,1,1
application,Server Based Application,5,5,request for information,0,9029944444.0,1,1
computer,Laptop,5,5,incident,4,2939383333.0,4,1
application,SAP,5,5,request for information,4,7419527778.0,2,1
application,Server Based Application,5,5,request for information,6,3915041667.0,1,1
application,Web Based Application,4,4,incident,5,2191177778.0,3,1
application,SAP,4,4,incident,18,8602444444.0,1,1
application,Web Based Application,4,4,incident,12,2947963889.0,1,1
application,Server Based Application,5,5,request for information,13,3429269444.0,1,1
application,Server Based Application,5,5,incident,11,3902388889.0,2,1
application,SAP,5,5,request for information,5,3315736111.0,3,1
application,Web Based Application,5,5,incident,4,3426277778.0,1,1
subapplication,Web Based Application,4,4,incident,3,1040672222.0,1,1
application,Desktop Application,5,5,incident,3,1386113889.0,1,1
application,Web Based Application,4,4,incident,16,9754277778.0,1,1
application,SAP,5,5,request for information,25,4143111111.0,2,1
application,Server Based Application,5,5,request for information,0,1111833333.0,1,1
application,Server Based Application,5,5,request for information,0,1851883333.0,1,1
application,Server Based Application,5,5,request for information,4,8902666667.0,2,1
computer,Laptop,5,5,incident,2,1760194444.0,1,1
application,Server Based Application,5,5,request for information,3,1455138889.0,3,1
application,SAP,5,5,request for information,1,2718930556.0,1,1
application,Server Based Application,4,4,incident,5,8280805556.0,1,1
application,Web Based Application,5,5,incident,5,1803458333.0,1,1
application,Server Based Application,5,5,request for information,8,5397333333.0,1,1
application,Server Based Application,5,5,request for information,3,1138194444.0,1,1
application,Desktop Application,4,4,incident,1,8597777778.0,2,1
application,Server Based Application,3,3,incident,1,2967777778.0,1,1
application,Desktop Application,5,5,incident,3,1354133333.0,1,1
application,Web Based Application,5,5,incident,2,4746055556.0,1,1
application,Server Based Application,3,3,incident,0,463611111.0,1,1
application,Server Based Application,5,5,request for information,0,9178916667.0,1,1
application,Server Based Application,4,4,request for information,1,1365277778.0,1,1
