Open_Time,CI_Cat,CI_Subcat,Category,No_of_Related_Incidents,No_of_Related_Changes
2013-05-27 10:44:00,application,Server Based Application,request for information,0,0
2013-05-27 15:38:00,subapplication,Web Based Application,incident,0,0
2013-05-27 16:28:00,application,Server Based Application,incident,0,0
2013-05-29 09:15:00,application,SAP,request for information,0,0
2013-05-30 14:28:00,application,Server Based Application,request for information,0,0
2013-05-31 09:20:00,application,Web Based Application,incident,0,0
2013-03-06 10:09:00,subapplication,Web Based Application,incident,0,0
2013-04-06 09:25:00,application,Web Based Application,incident,0,0
2013-04-06 10:00:00,application,Web Based Application,incident,0,0
2013-04-06 16:13:00,application,Server Based Application,incident,1,0
2013-05-06 08:24:00,subapplication,Web Based Application,incident,0,0
2013-06-06 08:54:00,application,SAP,request for information,0,0
2013-06-06 11:14:00,application,Server Based Application,incident,0,0
2013-10-06 08:53:00,application,Web Based Application,incident,0,0
2013-10-06 13:00:00,application,Standard Application,incident,0,0
2013-10-06 16:33:00,application,Web Based Application,incident,0,0
2013-10-06 16:44:00,application,Web Based Application,incident,0,0
2013-11-06 10:28:00,application,Web Based Application,incident,0,0
2013-11-06 16:17:00,application,Server Based Application,incident,0,0
2013-12-06 16:48:00,application,Web Based Application,incident,0,0
2013-12-06 14:57:00,application,Web Based Application,incident,0,0
2013-06-13 10:23:00,subapplication,Web Based Application,incident,0,0
2013-06-13 10:42:00,application,Server Based Application,incident,0,0
2013-06-13 11:48:00,application,SAP,incident,0,0
2013-06-14 13:42:00,application,Server Based Application,incident,0,0
2013-06-17 11:11:00,application,Web Based Application,incident,0,0
2013-06-17 14:47:00,application,Web Based Application,incident,0,0
2013-06-18 13:44:00,application,Web Based Application,request for information,0,0
2013-06-19 05:54:00,application,Web Based Application,incident,0,0
2013-06-19 15:33:00,application,Web Based Application,incident,0,0
2013-06-19 15:46:00,computer,Windows Server,incident,0,0
2013-06-20 13:01:00,application,Web Based Application,incident,0,0
2013-06-24 14:43:00,application,Web Based Application,incident,0,0
2013-06-26 11:36:00,application,Web Based Application,incident,0,0
2013-06-26 12:09:00,application,Standard Application,incident,2,1
2013-06-27 10:11:00,application,Web Based Application,incident,0,0
2013-06-27 10:24:00,subapplication,Web Based Application,incident,0,0
2013-06-27 12:51:00,application,Web Based Application,incident,0,0
2013-06-28 07:52:00,application,Server Based Application,incident,0,0
2013-06-28 08:42:00,application,Server Based Application,incident,0,0
2013-06-28 09:11:00,application,Web Based Application,incident,0,0
2013-06-28 12:06:00,subapplication,Server Based Application,incident,0,0
2013-01-07 11:30:00,application,Web Based Application,incident,0,0
2013-01-07 14:25:00,application,Web Based Application,incident,0,0
2013-02-07 11:22:00,subapplication,Web Based Application,incident,0,0
2013-03-07 14:45:00,application,Web Based Application,incident,0,0
2013-04-07 10:06:00,application,Server Based Application,incident,0,0
2013-04-07 10:01:00,subapplication,Web Based Application,incident,0,0
2013-04-07 15:27:00,application,Web Based Application,incident,0,1
2013-05-07 13:35:00,application,Standard Application,incident,1,2
2013-08-07 09:13:00,application,Standard Application,incident,0,0
2013-08-07 09:42:00,application,Standard Application,incident,0,1
2013-08-07 11:29:00,application,Server Based Application,incident,0,0
2013-08-07 15:49:00,application,Client Based Application,incident,0,0
2013-09-07 12:04:00,application,Server Based Application,incident,0,1
2013-09-07 15:43:00,application,Web Based Application,incident,0,0
2013-09-07 16:18:00,application,Server Based Application,incident,0,0
2013-10-07 10:59:00,application,Web Based Application,incident,0,0
2013-10-07 13:57:00,application,Standard Application,incident,1,0
2013-11-07 09:28:00,application,Web Based Application,incident,0,0
2013-11-07 11:20:00,application,Web Based Application,incident,0,0
2013-11-07 10:56:00,subapplication,Web Based Application,incident,0,0
2013-11-07 11:48:00,application,Server Based Application,incident,0,0
2013-11-07 12:01:00,application,Web Based Application,incident,0,0
2013-11-07 15:21:00,subapplication,Web Based Application,incident,0,0
2013-11-07 16:08:00,application,Server Based Application,incident,0,0
2013-12-07 08:15:00,application,Server Based Application,incident,0,0
2013-12-07 09:07:00,application,Server Based Application,incident,0,0
2013-12-07 14:13:00,application,Web Based Application,incident,0,0
2013-12-07 15:11:00,subapplication,Web Based Application,incident,0,0
2013-07-15 08:34:00,application,Server Based Application,request for information,0,0
2013-07-15 09:04:00,application,Web Based Application,incident,0,0
2013-07-15 09:53:00,subapplication,Web Based Application,incident,0,0
2013-07-15 14:38:00,application,Web Based Application,incident,0,0
2013-07-15 14:39:00,application,Server Based Application,incident,0,1
2013-07-15 14:23:00,application,Web Based Application,incident,0,0
2013-07-15 15:01:00,application,Server Based Application,incident,0,0
2013-07-16 09:52:00,application,Server Based Application,incident,0,0
2013-07-16 08:23:00,application,Server Based Application,incident,0,0
2013-07-16 15:05:00,application,Web Based Application,incident,0,0
2013-07-16 15:43:00,application,Server Based Application,incident,0,0
2013-07-16 16:14:00,application,Server Based Application,incident,0,0
2013-07-16 15:43:00,application,Client Based Application,incident,0,0
2013-07-16 17:28:00,application,Web Based Application,incident,1,0
2013-07-17 09:23:00,application,Web Based Application,incident,0,0
2013-07-17 08:31:00,computer,Laptop,incident,0,0
2013-07-17 10:13:00,subapplication,Web Based Application,incident,0,0
2013-07-17 14:02:00,application,Web Based Application,incident,1,1
2013-07-17 14:51:00,application,Web Based Application,incident,0,0
2013-07-19 10:14:00,application,Web Based Application,incident,0,0
2013-07-22 09:44:00,application,Desktop Application,request for information,0,0
2013-07-22 14:18:00,application,Web Based Application,incident,0,0
2013-07-23 09:46:00,subapplication,Web Based Application,incident,1,0
2013-07-23 10:15:00,application,Web Based Application,incident,0,0
2013-07-23 11:19:00,application,Server Based Application,incident,1,0
2013-07-23 11:48:00,application,Server Based Application,incident,0,0
2013-07-23 13:55:00,application,Web Based Application,incident,0,0
2013-07-24 12:04:00,application,Web Based Application,incident,0,0
2013-07-25 13:19:00,application,Server Based Application,incident,0,0
2013-07-25 11:52:00,application,Web Based Application,incident,0,0
2013-07-25 15:19:00,application,Web Based Application,incident,0,0
2013-07-26 09:52:00,application,Web Based Application,incident,0,0
2013-07-26 13:18:00,application,Web Based Application,incident,0,0
2013-07-29 09:58:00,application,Web Based Application,incident,1,1
2013-07-29 12:57:00,application,SAP,request for information,0,0
2013-07-29 11:00:00,application,Desktop Application,incident,0,0
2013-07-29 12:53:00,application,Web Based Application,incident,0,0
2013-07-29 11:13:00,application,Web Based Application,incident,0,0
2013-07-29 17:01:00,application,Client Based Application,incident,0,0
2013-07-30 08:32:00,computer,Laptop,incident,0,0
2013-07-30 11:31:00,application,Web Based Application,incident,0,0
2013-07-30 13:32:00,application,Server Based Application,request for information,0,0
2013-07-30 12:48:00,application,Web Based Application,incident,0,0
2013-07-30 14:18:00,application,Server Based Application,request for information,0,0
2013-07-31 09:06:00,application,SAP,request for information,0,0
2013-01-08 11:56:00,application,Server Based Application,incident,0,0
2013-01-08 13:26:00,application,Web Based Application,incident,0,0
2013-05-08 11:04:00,application,SAP,request for information,0,0
2013-05-08 12:03:00,application,Web Based Application,incident,0,0
2013-05-08 14:20:00,application,Web Based Application,incident,0,0
2013-06-08 08:17:00,application,SAP,request for information,0,0
2013-06-08 09:22:00,application,Web Based Application,incident,0,0
2013-06-08 15:48:00,computer,Linux Server,incident,0,0
2013-07-08 09:41:00,application,Web Based Application,incident,0,0
2013-07-08 12:49:00,application,Web Based Application,incident,0,0
2013-07-08 13:41:00,application,Web Based Application,incident,0,0
2013-07-08 14:38:00,application,Web Based Application,incident,0,0
2013-07-08 14:40:00,application,Web Based Application,incident,0,0
2013-07-08 15:51:00,application,Web Based Application,incident,0,0
2013-07-08 15:57:00,application,Server Based Application,incident,0,0
2013-08-08 09:30:00,application,Web Based Application,incident,0,0
2013-08-08 09:59:00,subapplication,Web Based Application,incident,0,0
2013-08-08 13:15:00,application,Server Based Application,request for information,0,0
2013-08-08 12:01:00,application,Web Based Application,incident,0,0
2013-08-08 15:30:00,application,Server Based Application,incident,0,0
2013-08-08 15:39:00,application,SAP,incident,0,0
2013-09-08 11:59:00,application,Server Based Application,incident,0,0
2013-12-08 10:16:00,subapplication,Server Based Application,incident,1,0
2013-12-08 11:10:00,application,SAP,request for information,0,0
2013-12-08 11:03:00,application,Server Based Application,incident,2,0
2013-12-08 14:42:00,application,Web Based Application,incident,0,0
2013-12-08 14:51:00,application,Server Based Application,incident,0,0
2013-08-13 10:11:00,application,Web Based Application,incident,0,0
2013-08-13 10:38:00,application,Server Based Application,incident,0,0
2013-08-13 11:31:00,application,Server Based Application,incident,0,0
2013-08-13 13:37:00,application,Server Based Application,request for information,0,0
2013-08-13 14:34:00,application,Web Based Application,incident,1,0
2013-08-13 16:41:00,application,Web Based Application,incident,0,0
2013-08-14 10:02:00,application,SAP,request for information,0,0
2013-08-14 13:04:00,subapplication,Web Based Application,incident,0,0
2013-08-15 18:40:00,application,Server Based Application,incident,0,0
2013-08-16 09:10:00,application,Web Based Application,incident,0,0
2013-08-19 10:09:00,application,Standard Application,incident,0,1
2013-08-19 09:59:00,application,Web Based Application,incident,0,0
2013-08-19 14:14:00,application,Server Based Application,incident,1,0
2013-08-19 14:08:00,application,Web Based Application,incident,1,0
2013-08-19 16:21:00,application,Web Based Application,incident,0,0
2013-08-19 16:18:00,subapplication,Web Based Application,incident,0,0
2013-08-19 16:31:00,subapplication,Web Based Application,incident,0,0
2013-08-20 10:51:00,application,Web Based Application,incident,0,0
2013-08-20 15:40:00,application,Server Based Application,incident,0,0
2013-08-21 09:26:00,application,Web Based Application,incident,0,0
2013-08-20 17:27:00,subapplication,Web Based Application,request for information,0,0
2013-08-21 09:32:00,application,Web Based Application,incident,0,0
2013-08-21 11:20:00,application,Web Based Application,incident,0,0
2013-08-21 12:15:00,application,Server Based Application,incident,0,0
2013-08-21 13:13:00,application,Web Based Application,incident,0,0
2013-08-22 12:12:00,subapplication,Web Based Application,incident,0,0
2013-08-22 13:09:00,application,Web Based Application,incident,0,0
2013-08-22 14:37:00,subapplication,Web Based Application,incident,0,0
2013-08-23 11:34:00,application,Web Based Application,incident,0,0
2013-08-23 11:42:00,application,Web Based Application,incident,0,0
2013-08-23 12:17:00,application,SAP,request for information,0,0
2013-08-23 12:41:00,application,Web Based Application,incident,0,0
2013-08-23 13:15:00,application,Server Based Application,incident,0,0
2013-08-23 15:44:00,application,Client Based Application,incident,0,0
2013-08-26 13:07:00,application,Desktop Application,incident,0,1
2013-08-26 15:01:00,application,Web Based Application,incident,0,0
2013-08-26 14:33:00,application,Web Based Application,incident,0,0
2013-08-26 13:49:00,computer,Windows Server,incident,0,0
2013-08-26 14:49:00,subapplication,Web Based Application,incident,0,0
2013-08-26 15:38:00,application,Web Based Application,incident,2,1
2013-08-27 09:32:00,application,Desktop Application,incident,0,0
2013-08-27 10:09:00,application,Web Based Application,incident,0,0
2013-08-27 14:58:00,application,Web Based Application,incident,0,0
2013-08-27 11:18:00,application,Server Based Application,incident,0,0
2013-08-27 12:31:00,application,SAP,request for information,0,0
2013-08-27 14:25:00,application,SAP,request for information,0,0
2013-08-27 14:22:00,application,Web Based Application,incident,0,0
2013-08-27 17:03:00,application,Web Based Application,incident,0,0
2013-08-28 10:58:00,application,Server Based Application,incident,0,0
2013-08-28 11:12:00,subapplication,Citrix,incident,0,0
2013-08-28 11:02:00,application,Server Based Application,incident,1,0
2013-08-28 12:05:00,application,Web Based Application,incident,0,0
2013-08-29 11:03:00,application,Server Based Application,incident,0,0
2013-08-29 12:54:00,computer,Laptop,incident,0,0
2013-08-29 11:19:00,application,Server Based Application,incident,0,0
2013-08-29 15:37:00,application,Web Based Application,incident,0,0
2013-08-29 14:36:00,application,Server Based Application,incident,0,0
2013-08-30 08:45:00,application,Server Based Application,incident,0,0
2013-08-30 08:45:00,application,Server Based Application,incident,0,0
2013-08-30 10:27:00,computer,Laptop,incident,0,0
2013-08-30 08:54:00,application,Standard Application,incident,1,1
2013-08-30 12:07:00,application,Server Based Application,request for information,0,0
2013-08-30 13:43:00,application,SAP,request for information,0,0
2013-08-30 14:36:00,application,SAP,request for information,0,0
2013-08-30 16:44:00,application,Server Based Application,incident,0,0
2013-08-30 16:29:00,application,Server Based Application,incident,0,0
2013-02-09 10:01:00,computer,Laptop,incident,0,0
2013-02-09 10:10:00,application,SAP,incident,0,0
2013-02-09 15:09:00,subapplication,Web Based Application,incident,0,0
2013-02-09 15:53:00,application,Server Based Application,incident,0,0
2013-02-09 12:58:00,application,Desktop Application,incident,0,0
2013-02-09 13:43:00,application,Server Based Application,request for information,0,0
2013-02-09 15:02:00,application,Server Based Application,request for information,0,0
2013-02-09 14:10:00,application,SAP,request for information,1,0
2013-02-09 14:12:00,application,SAP,request for information,0,0
2013-02-09 14:52:00,subapplication,Web Based Application,incident,0,0
2013-02-09 15:05:00,subapplication,Web Based Application,incident,0,0
2013-03-09 08:19:00,application,Web Based Application,incident,1,0
2013-02-09 15:51:00,computer,Laptop,incident,0,0
2013-03-09 08:01:00,application,Server Based Application,request for information,2,0
2013-03-09 11:37:00,application,Client Based Application,incident,0,0
2013-03-09 13:16:00,application,Server Based Application,incident,1,0
2013-03-09 14:52:00,subapplication,Web Based Application,incident,0,0
2013-03-09 16:54:00,application,Desktop Application,incident,0,0
2013-04-09 10:12:00,application,Server Based Application,incident,0,0
2013-03-09 16:13:00,application,Server Based Application,incident,0,0
2013-03-09 16:39:00,application,SAP,incident,0,0
2013-03-09 16:43:00,application,Web Based Application,incident,0,0
2013-04-09 10:16:00,application,SAP,request for information,0,0
2013-04-09 11:46:00,application,Server Based Application,incident,23,0
2013-04-09 15:42:00,subapplication,Web Based Application,incident,0,0
2013-04-09 16:10:00,application,Web Based Application,incident,0,0
2013-04-09 12:47:00,application,Server Based Application,incident,0,0
2013-04-09 14:44:00,application,Web Based Application,incident,0,0
2013-04-09 15:06:00,application,Desktop Application,incident,0,0
2013-04-09 15:49:00,application,Server Based Application,incident,0,0
2013-05-09 10:28:00,subapplication,Web Based Application,incident,0,0
2013-05-09 11:27:00,application,SAP,request for information,0,0
2013-05-09 12:17:00,application,Server Based Application,request for information,0,0
2013-05-09 13:22:00,application,Server Based Application,request for information,0,0
2013-05-09 11:51:00,application,Web Based Application,request for information,0,0
2013-05-09 12:05:00,application,Web Based Application,incident,0,0
2013-05-09 11:19:00,subapplication,Web Based Application,incident,0,0
2013-05-09 11:34:00,subapplication,Web Based Application,incident,0,0
2013-05-09 11:57:00,subapplication,Web Based Application,incident,0,0
2013-05-09 13:50:00,computer,Laptop,incident,0,0
2013-06-09 12:01:00,application,Server Based Application,incident,0,0
2013-06-09 13:34:00,subapplication,Web Based Application,incident,0,0
2013-06-09 09:59:00,application,Server Based Application,request for information,0,0
2013-06-09 14:01:00,application,Server Based Application,request for information,0,0
2013-06-09 15:38:00,application,SAP,request for information,0,0
2013-06-09 14:41:00,application,Server Based Application,incident,0,0
2013-06-09 16:58:00,application,Server Based Application,incident,0,0
2013-06-09 15:54:00,application,Web Based Application,incident,0,0
2013-06-09 16:45:00,subapplication,Web Based Application,incident,0,0
2013-09-09 09:00:00,application,Desktop Application,incident,0,0
2013-09-09 10:27:00,application,SAP,incident,0,0
2013-09-09 09:38:00,application,Web Based Application,request for information,0,0
2013-09-09 09:45:00,application,Server Based Application,incident,0,0
2013-09-09 12:55:00,application,Server Based Application,request for information,1,0
2013-09-09 12:56:00,application,Web Based Application,incident,2,0
2013-09-09 12:54:00,application,Server Based Application,incident,0,0
2013-09-09 13:28:00,application,Server Based Application,incident,0,0
2013-09-09 12:44:00,computer,Laptop,incident,0,0
2013-09-09 15:31:00,application,Web Based Application,request for information,0,0
2013-09-09 15:52:00,application,Web Based Application,incident,0,0
2013-10-09 09:02:00,displaydevice,Monitor,incident,0,0
2013-10-09 09:29:00,application,Web Based Application,incident,0,0
2013-10-09 10:03:00,application,Web Based Application,incident,0,0
2013-10-09 10:05:00,application,Web Based Application,incident,0,0
2013-10-09 10:57:00,application,Web Based Application,incident,0,0
2013-10-09 11:14:00,application,Web Based Application,incident,0,0
2013-10-09 11:22:00,application,Server Based Application,request for information,0,0
2013-10-09 13:09:00,application,Web Based Application,incident,0,3
2013-10-09 13:47:00,application,Web Based Application,incident,0,0
2013-10-09 11:07:00,subapplication,Web Based Application,incident,0,0
2013-10-09 12:11:00,application,Web Based Application,incident,0,0
2013-10-09 12:20:00,subapplication,Web Based Application,incident,0,0
2013-10-09 12:37:00,application,Web Based Application,request for information,0,0
2013-10-09 14:05:00,application,Server Based Application,incident,0,0
2013-10-09 14:19:00,application,Web Based Application,incident,0,0
2013-10-09 14:12:00,application,Web Based Application,incident,0,0
2013-10-09 15:14:00,subapplication,Web Based Application,incident,0,0
2013-10-09 14:24:00,application,Web Based Application,incident,0,0
2013-10-09 15:44:00,application,Web Based Application,incident,0,0
2013-11-09 08:35:00,application,Server Based Application,request for information,0,0
2013-11-09 10:12:00,application,Server Based Application,incident,0,0
2013-11-09 09:51:00,software,Automation Software,incident,0,0
2013-11-09 11:39:00,storage,SAN,request for information,0,0
2013-11-09 09:40:00,application,Web Based Application,incident,0,0
2013-11-09 11:06:00,application,Web Based Application,incident,0,0
2013-11-09 11:06:00,application,SAP,request for information,0,0
2013-11-09 11:15:00,application,Web Based Application,incident,0,0
2013-11-09 11:28:00,application,Server Based Application,request for information,0,0
2013-11-09 12:43:00,application,Web Based Application,incident,0,0
2013-11-09 12:45:00,application,Server Based Application,incident,0,0
2013-11-09 12:50:00,application,Web Based Application,incident,0,0
2013-11-09 12:59:00,application,SAP,request for information,0,0
2013-11-09 11:29:00,application,Server Based Application,incident,0,0
2013-11-09 11:52:00,application,Web Based Application,incident,0,0
2013-11-09 13:18:00,application,Web Based Application,incident,0,0
2013-11-09 14:38:00,application,Web Based Application,incident,0,0
2013-11-09 12:59:00,application,Server Based Application,request for information,0,0
2013-11-09 13:14:00,application,Web Based Application,incident,0,0
2013-11-09 13:52:00,application,Desktop Application,request for information,0,0
2013-11-09 14:37:00,application,Server Based Application,request for information,0,0
2013-11-09 15:41:00,application,Web Based Application,incident,0,0
2013-11-09 14:16:00,application,Server Based Application,incident,0,0
2013-12-09 09:16:00,computer,Laptop,incident,0,0
2013-11-09 13:59:00,application,Web Based Application,incident,0,0
2013-11-09 15:36:00,application,Server Based Application,request for information,0,0
2013-11-09 15:43:00,computer,Laptop,request for information,0,0
2013-11-09 16:11:00,application,Server Based Application,incident,0,0
2013-12-09 09:06:00,application,Server Based Application,request for information,0,0
2013-12-09 09:59:00,application,Server Based Application,request for information,0,0
2013-12-09 10:40:00,application,Server Based Application,incident,0,0
2013-12-09 11:14:00,subapplication,Web Based Application,incident,1,2
2013-12-09 11:43:00,application,Web Based Application,incident,0,0
2013-12-09 10:58:00,subapplication,Web Based Application,request for information,0,0
2013-12-09 11:06:00,application,Web Based Application,incident,0,0
2013-12-09 11:29:00,application,Web Based Application,incident,0,0
2013-12-09 10:59:00,computer,Laptop,incident,0,0
2013-12-09 11:34:00,subapplication,Web Based Application,incident,0,0
2013-12-09 12:07:00,subapplication,Web Based Application,incident,0,0
2013-12-09 13:35:00,application,Server Based Application,incident,0,0
2013-12-09 14:17:00,subapplication,Web Based Application,incident,0,0
2013-12-09 15:21:00,application,SAP,request for information,0,0
2013-12-09 16:02:00,application,SAP,request for information,0,0
2013-12-09 12:50:00,subapplication,Web Based Application,incident,0,0
2013-12-09 12:52:00,application,Web Based Application,incident,0,0
2013-12-09 13:16:00,application,Citrix,incident,0,0
2013-09-13 07:53:00,application,SAP,request for information,0,0
2013-12-09 16:37:00,application,Web Based Application,incident,0,0
2013-09-13 08:36:00,computer,Laptop,incident,0,0
2013-12-09 17:00:00,application,Server Based Application,incident,0,0
2013-09-13 08:35:00,application,Server Based Application,incident,0,0
2013-09-13 09:17:00,subapplication,Web Based Application,incident,0,0
2013-09-13 09:35:00,application,Desktop Application,incident,0,0
2013-09-13 10:25:00,application,Server Based Application,request for information,0,0
2013-09-13 13:53:00,application,Server Based Application,request for information,0,0
2013-09-13 13:57:00,application,Server Based Application,request for information,0,0
2013-09-13 15:38:00,application,Server Based Application,incident,0,0
2013-09-16 09:02:00,application,Web Based Application,incident,0,0
2013-09-16 09:06:00,application,SAP,request for information,0,0
2013-09-16 10:48:00,application,Server Based Application,request for information,0,0
2013-09-16 11:33:00,application,Web Based Application,incident,0,0
2013-09-16 12:22:00,application,Web Based Application,incident,0,0
2013-09-16 12:46:00,application,Server Based Application,request for information,0,0
2013-09-16 11:42:00,computer,Laptop,incident,0,0
2013-09-16 12:21:00,application,Web Based Application,incident,0,0
2013-09-16 11:29:00,application,Server Based Application,request for information,0,0
2013-09-16 12:13:00,application,SAP,request for information,0,0
2013-09-16 15:00:00,subapplication,Web Based Application,incident,0,0
2013-09-16 15:00:00,application,Web Based Application,incident,0,0
2013-09-17 08:26:00,application,Desktop Application,request for information,0,0
2013-09-16 14:50:00,application,Server Based Application,request for information,0,0
2013-09-16 16:07:00,application,Server Based Application,request for information,0,0
2013-09-17 07:14:00,computer,Laptop,incident,0,0
2013-09-17 09:25:00,application,SAP,request for information,0,0
2013-09-17 10:01:00,application,Server Based Application,request for information,0,0
2013-09-16 18:00:00,application,Web Based Application,incident,0,0
2013-09-17 10:38:00,application,SAP,incident,0,0
2013-09-17 11:34:00,application,Web Based Application,incident,0,0
2013-09-17 11:37:00,application,Server Based Application,request for information,4,0
2013-09-17 09:46:00,application,Server Based Application,incident,0,0
2013-09-17 10:01:00,application,SAP,request for information,0,0
2013-09-17 11:02:00,application,Web Based Application,incident,0,0
2013-09-17 12:09:00,subapplication,Web Based Application,incident,0,0
2013-09-17 12:30:00,application,Desktop Application,incident,0,0
2013-09-17 12:46:00,application,Web Based Application,incident,0,0
2013-09-17 13:20:00,application,SAP,request for information,0,0
2013-09-17 14:19:00,application,Server Based Application,request for information,0,0
2013-09-17 15:20:00,application,Server Based Application,request for information,0,0
2013-09-17 15:27:00,application,Server Based Application,request for information,0,0
2013-09-17 13:15:00,computer,Laptop,incident,0,0
2013-09-17 13:41:00,application,Server Based Application,request for information,0,0
2013-09-17 14:43:00,application,SAP,request for information,0,0
2013-09-17 16:42:00,application,Server Based Application,incident,0,0
2013-09-17 16:46:00,application,Web Based Application,incident,0,0
2013-09-17 17:03:00,application,Server Based Application,request for information,0,0
2013-09-17 17:07:00,application,Server Based Application,request for information,0,0
2013-09-18 09:49:00,application,Desktop Application,incident,0,0
2013-09-17 15:32:00,application,Server Based Application,incident,0,0
2013-09-17 15:40:00,application,Desktop Application,incident,0,0
2013-09-17 16:07:00,application,Web Based Application,incident,0,0
2013-09-17 16:32:00,application,Server Based Application,incident,0,0
2013-09-17 16:36:00,application,Server Based Application,request for information,0,0
2013-09-17 16:38:00,application,Server Based Application,request for information,0,0
